Column1,Column2
3,11926.94
3.01,12239.05
3.02,12096.42
3.03,11809.27
3.04,11811.07
3.05,11874.31
3.06,11695.65
3.07,11671.87
3.08,11245.54
3.09,9788.822
3.1,9714.626
3.11,10866.28
3.12,11878.99
3.13,10623.42
3.14,10417.63
3.15,11019.98
3.16,10802.58
3.17,10415.86
3.18,11051.27
3.19,11087.35
3.2,10431.93
3.21,9908.978
3.22,9983.953
3.23,10196
3.24,10246.8
3.25,10921.92
3.26,11101.32
3.27,9817.46
3.28,8842.756
3.29,9421.428
3.3,9226.616
3.31,9311.297
3.32,9961.212
3.33,10242.91
3.34,9871.563
3.35,9275.524
3.36,9215.622
3.37,10255.24
3.38,11008.88
3.39,9693.581
3.4,9323.834
3.41,9581.133
3.42,9553.126
3.43,8981.891
3.44,8050.348
3.45,8430.926
3.46,8881.946
3.47,8919.105
3.48,9666.926
3.49,9840.427
3.5,9275.786
3.51,8211.682
3.52,8360.999
3.53,8629.207
3.54,8502.971
3.55,8943.944
3.56,9623.326
3.57,9602.45
3.58,9268.374
3.59,9061.065
3.6,8753.345
3.61,8995.681
3.62,9533.568
3.63,9188.163
3.64,8828.567
3.65,8664.788
3.66,8586.818
3.67,8685.548
3.68,9030.37
3.69,9215.45
3.7,8600.636
3.71,8016.263
3.72,8591.752
3.73,8497.58
3.74,8094.396
3.75,7965.917
3.76,8326.274
3.77,8762.902
3.78,7936.101
3.79,7456.789
3.8,7659.254
3.81,7785.694
3.82,8801.813
3.83,8623.896
3.84,8107.418
3.85,8356.911
3.86,8713.727
3.87,8725.746
3.88,8041.04
3.89,8008.935
3.9,8264.232
3.91,7933.811
3.92,7771.111
3.93,7120.943
3.94,7144.952
3.95,7663.956
3.96,7601.729
3.97,8209.257
3.98,8040.184
3.99,7312.85
4,8145.019
4.01,7985.866
4.02,7539.699
4.03,8002.089
4.04,7651.391
4.05,7993.972
4.06,8378.087
4.07,7771.896
4.08,7321.491
4.09,7050.054
4.1,6780.122
4.11,6839.274
4.12,7677.498
4.13,8164.783
4.14,7464.275
4.15,7825.544
4.16,7181.877
4.17,7727.371
4.18,8545.04
4.19,7326.996
4.2,7457.648
4.21,7394.424
4.22,7079.066
4.23,7134.189
4.24,7552.037
4.25,8032.44
4.26,7650.656
4.27,7075.846
4.28,6780.424
4.29,7342.089
4.3,7699.653
4.31,7205.318
4.32,6860.462
4.33,7186.786
4.34,7170.234
4.35,7131.013
4.36,7111.282
4.37,7079.491
4.38,7000.228
4.39,7327.438
4.4,6813.244
4.41,6193.437
4.42,6847.185
4.43,6892.778
4.44,6807.113
4.45,7468.896
4.46,7667.53
4.47,7192.264
4.48,7288.653
4.49,7266.062
4.5,6702.185
4.51,6167.623
4.52,6270.063
4.53,6858.553
4.54,7128.706
4.55,7050.441
4.56,7017.396
4.57,7203.464
4.58,6833.732
4.59,6502.437
4.6,6527.749
4.61,6440.643
4.62,6843.75
4.63,6902.838
4.64,6901.234
4.65,6867.201
4.66,6716.56
4.67,7263.563
4.68,7129.686
4.69,6677.343
4.7,6192.457
4.71,6043.895
4.72,6166.665
4.73,6191.658
4.74,6885.744
4.75,6723.216
4.76,5938.649
4.77,6101.737
4.78,7117.401
4.79,7227.04
4.8,6238.63
4.81,5659.589
4.82,6521.125
4.83,6230.426
4.84,5603.31
4.85,5884.898
4.86,6256.75
4.87,6481.798
4.88,6377.224
4.89,6328.189
4.9,5919.511
4.91,5098.323
4.92,5441.205
4.93,6759.65
4.94,6892.599
4.95,6060.404
4.96,6117.336
4.97,5819.897
4.98,5951.249
4.99,5763.927
5,6610.431
5.01,6667.028
5.02,6042.492
5.03,6400.811
5.04,6197.314
5.05,6083.904
5.06,6619.733
5.07,6625.63
5.08,5826.67
5.09,5700.578
5.1,6175.14
5.11,6127.449
5.12,6414.922
5.13,6264.721
5.14,5502.11
5.15,5425.359
5.16,6148.464
5.17,5784.676
5.18,5556.183
5.19,6154.596
5.2,5604.481
5.21,5259.443
5.22,5798.545
5.23,6626.725
5.24,5937.163
5.25,5750.231
5.26,5678.255
5.27,5750.5
5.28,6347.732
5.29,5821.664
5.3,5536.075
5.31,5699.158
5.32,5483.366
5.33,5284.813
5.34,5450.273
5.35,5701.003
5.36,5632.049
5.37,5404.415
5.38,5379.875
5.39,5716.469
5.4,5963.563
5.41,6502.886
5.42,5700.415
5.43,5416.041
5.44,5534.489
5.45,5695.544
5.46,5786.4
5.47,5592.826
5.48,5433.61
5.49,6046.892
5.5,6289.011
5.51,5646.469
5.52,5888.698
5.53,5919.107
5.54,5184.502
5.55,5140.514
5.56,5429.864
5.57,5446.565
5.58,5548.29
5.59,5623.459
5.6,5626.459
5.61,5619.991
5.62,5289.052
5.63,4862.161
5.64,5612.008
5.65,5538.161
5.66,5109.396
5.67,5755.625
5.68,5484.254
5.69,5206.044
5.7,4921.89
5.71,5259.807
5.72,5738.019
5.73,5799.844
5.74,5625.908
5.75,5244.959
5.76,5475.984
5.77,5669.863
5.78,5600.137
5.79,5919.379
5.8,5694.68
5.81,5470.754
5.82,5317.882
5.83,5310.561
5.84,5149.041
5.85,5582.059
5.86,5353.092
5.87,5393.833
5.88,5637.298
5.89,5246.776
5.9,5075.038
5.91,5609.496
5.92,5276.825
5.93,5166.017
5.94,5228.96
5.95,5058.158
5.96,4639.409
5.97,4850.907
5.98,5113.673
5.99,5395.193
6,5507.984
6.01,5249.244
6.02,4943.665
6.03,5079.686
6.04,5132.359
6.05,4948.088
6.06,4550.589
6.07,4605.683
6.08,5242.481
6.09,5509.723
6.1,5317.686
6.11,4798.345
6.12,5145.699
6.13,5615.491
6.14,5658.898
6.15,5424.25
6.16,5649.551
6.17,5482.354
6.18,4879.26
6.19,4444.495
6.2,4499.155
6.21,4382.166
6.22,4339.407
6.23,4810.209
6.24,5231.075
6.25,5074.041
6.26,5385.751
6.27,5032.646
6.28,5077.613
6.29,5058.697
6.3,5515.519
6.31,5480.724
6.32,5704.252
6.33,5583.356
6.34,5199.899
6.35,4862.356
6.36,4506.692
6.37,4810.137
6.38,5140.34
6.39,5186.327
6.4,5084.131
6.41,5170.376
6.42,4940.309
6.43,4657.062
6.44,5531.128
6.45,5105.282
6.46,4793.632
6.47,4642.002
6.48,4564.89
6.49,4910.869
6.5,5418.785
6.51,5276.653
6.52,5489.512
6.53,5037.311
6.54,5100.753
6.55,4657.419
6.56,4673.866
6.57,4684.009
6.58,4132.118
6.59,4075.742
6.6,4721.735
6.61,5235.021
6.62,5289.241
6.63,5324.278
6.64,4855.279
6.65,4516.12
6.66,4738.027
6.67,5415.8
6.68,5750.671
6.69,4839.253
6.7,4788.855
6.71,4546.489
6.72,4532.625
6.73,4437.311
6.74,4304.122
6.75,5167.913
6.76,5392.345
6.77,5081.179
6.78,4724.282
6.79,4965.039
6.8,4981.76
6.81,4716.282
6.82,5074.263
6.83,5371.663
6.84,5278.916
6.85,4920.705
6.86,4401.813
6.87,4213.687
6.88,4738.227
6.89,4647.415
6.9,4677.621
6.91,5129.616
6.92,5114.595
6.93,5195.715
6.94,4524.43
6.95,4430.514
6.96,4145.263
6.97,4350.458
6.98,4477.932
6.99,4569.503
7,4494.355
7.01,4825.443
7.02,4993.771
7.03,4853.927
7.04,4783.029
7.05,5088.315
7.06,4844.889
7.07,4794.046
7.08,4693.437
7.09,4264.581
7.1,4033.826
7.11,4432.393
7.12,5105.008
7.13,4962.545
7.14,4545.226
7.15,4583.834
7.16,4410.656
7.17,4894.096
7.18,5024
7.19,4289.182
7.2,3957.802
7.21,3885.03
7.22,4567.361
7.23,4895.401
7.24,5121.986
7.25,5119.01
7.26,4850.534
7.27,4858.018
7.28,4694.507
7.29,4902.283
7.3,4454.747
7.31,4277.42
7.32,4414.12
7.33,4291.465
7.34,3940.166
7.35,3910.324
7.36,4040.662
7.37,4255.002
7.38,4518.263
7.39,4605.898
7.4,5031.041
7.41,4491.446
7.42,4439.287
7.43,4378.628
7.44,4548.93
7.45,4437.925
7.46,4491.178
7.47,4362.558
7.48,4655.785
7.49,4980.259
7.5,4882.903
7.51,4653.027
7.52,3948.416
7.53,4089.585
7.54,4083.974
7.55,4427.798
7.56,4152.187
7.57,4064.517
7.58,3991.414
7.59,4107.158
7.6,4584.769
7.61,4513.56
7.62,4211.956
7.63,4284.614
7.64,4693.674
7.65,4354.056
7.66,4779.823
7.67,4548.02
7.68,4101.044
7.69,4179.812
7.7,4308.181
7.71,4569.517
7.72,4619.625
7.73,4375.214
7.74,4216.605
7.75,4637.923
7.76,4843.215
7.77,4702.872
7.78,4853.913
7.79,4493.475
7.8,4688.025
7.81,4377.108
7.82,4273.896
7.83,4442.986
7.84,4307.7
7.85,4540.488
7.86,4246.396
7.87,4367.227
7.88,4586.055
7.89,4604.857
7.9,4382.638
7.91,3904.215
7.92,4052.648
7.93,4700.092
7.94,4495.965
7.95,4228.346
7.96,3566.325
7.97,3694.334
7.98,4062.3
7.99,4149.991
8,4446.686
8.01,3950.893
8.02,4413.521
8.03,4859.947
8.04,4372.385
8.05,4276.197
8.06,3944.283
8.07,4033.221
8.08,4435.392
8.09,4476.409
8.1,3914.051
8.11,3767.841
8.12,3895.057
8.13,4374.521
8.14,4560.267
8.15,4723.29
8.16,4389.93
8.17,4434.846
8.18,4729.98
8.19,4040.358
8.2,4283.923
8.21,4062.747
8.22,3207.927
8.23,3906.385
8.24,4169.854
8.25,4493.916
8.26,3468.27
8.27,3490.468
8.28,4284.943
8.29,4199.045
8.3,3953.647
8.31,4426
8.32,4546.381
8.33,3854.412
8.34,3998.051
8.35,4114.493
8.36,4569.709
8.37,4086.285
8.38,3825.755
8.39,3758.47
8.4,4186.714
8.41,4067.738
8.42,3810.026
8.43,3845.88
8.44,4061.866
8.45,4236.776
8.46,4161.209
8.47,4263.111
8.48,4140.518
8.49,3522.209
8.5,3590.811
8.51,3626.707
8.52,3944.955
8.53,3720.331
8.54,3395.439
8.55,3821.775
8.56,3530.867
8.57,3779.61
8.58,3847.972
8.59,3951.575
8.6,3947.661
8.61,4086.125
8.62,3829.146
8.63,3717.48
8.64,4036.882
8.65,4032.173
8.66,3919.735
8.67,3879.308
8.68,4197.051
8.69,4085.682
8.7,3902.372
8.71,4253.165
8.72,3788.13
8.73,3462.248
8.74,3703.973
8.75,3666.191
8.76,3661.735
8.77,3868.594
8.78,4287.447
8.79,4041.775
8.8,4314.108
8.81,4138.169
8.82,3608.849
8.83,3910.29
8.84,3459.583
8.85,3517.857
8.86,3825.977
8.87,3965.002
8.88,3515.71
8.89,3709.264
8.9,4223.366
8.91,4024.131
8.92,3605.479
